transaction_id,products
1,"Soothing Face Balm, Clarifying Face Gel"
2,"Rich Night Cream, Mattifying Gel, Oil-Free Moisturizer"
3,"Hydrating Cream, Sensitive Skin Cream, Daily Hydration Gel, Soothing Face Balm"
4,"Refreshing Toner, Sensitive Skin Cream, Deep Moisture Lotion, Daily Hydration Gel"
5,"Soothing Face Balm, Oil-Free Moisturizer, Blemish Control Lotion, Pore Minimizing Serum"
6,"Refreshing Toner, Ultra Moisturizer, Hydrating Cream"
7,"Pore Minimizing Serum, Oil-Free Moisturizer, Rich Night Cream"
8,"Intensive Hydration Mask, Anti-Shine Lotion, Matte Finish Moisturizer, Oil-Free Moisturizer"
9,"Hydrating Cream, Pore Minimizing Serum"
10,"Pore Minimizing Serum, Oil Control Serum"
11,"Rich Night Cream, Ultra Moisturizer"
12,"Deep Cleanser, Deep Moisture Lotion, Oil-Free Moisturizer, Ultra Moisturizer"
13,"Intensive Hydration Mask, Daily Hydration Gel, Hydrating Cream, Matte Finish Moisturizer"
14,"Pore Minimizing Serum, Anti-Shine Lotion"
15,"Deep Moisture Lotion, Blemish Control Lotion, Soothing Face Balm, Matte Finish Moisturizer"
16,"Sensitive Skin Cream, Hydrating Cream, Oil Control Serum"
17,"Clarifying Face Gel, Rich Night Cream, Deep Moisture Lotion, Sensitive Skin Cream"
18,"Oil-Free Moisturizer, Mattifying Gel, Clarifying Face Gel"
19,"Hydrating Cream, Anti-Shine Lotion, Ultra Moisturizer, Pore Minimizing Serum"
20,"Mattifying Gel, Hydrating Cream"
21,"Sensitive Skin Cream, Rich Night Cream"
22,"Hydrating Cream, Matte Finish Moisturizer"
23,"Anti-Shine Lotion, Intensive Hydration Mask, Deep Cleanser"
24,"Oil-Free Moisturizer, Anti-Shine Lotion, Rich Night Cream"
25,"Sensitive Skin Cream, Matte Finish Moisturizer, Daily Hydration Gel"
26,"Anti-Shine Lotion, Hydrating Cream, Ultra Moisturizer"
27,"Deep Cleanser, Refreshing Toner"
28,"Pore Minimizing Serum, Deep Cleanser, Refreshing Toner, Mattifying Gel"
29,"Pore Minimizing Serum, Hydrating Cream"
30,"Oil Control Serum, Refreshing Toner, Anti-Shine Lotion"
